State,District,Pincode,Year,Quater,Ins_dist_count,Ins_dist_amount,Ins_pincode_count,Ins_pincode_amount
kerala,ernakulam,682042,2023,4,13336,21283249.0,564,836164.0
ladakh,kargil,194703,2020,2,11,1845.0,7,924.0
ladakh,leh ladakh,194703,2020,3,18,4376.0,8,3860.0
ladakh,leh ladakh,194104,2020,4,25,33631.0,9,9897.0
ladakh,leh ladakh,194104,2021,1,22,29962.0,6,9013.0
ladakh,leh ladakh,194101,2021,2,34,54093.0,10,12117.0
ladakh,leh ladakh,194101,2021,3,176,150296.0,108,53890.0
ladakh,leh ladakh,194104,2021,4,58,157274.0,18,48241.0
ladakh,leh ladakh,194104,2022,1,50,137974.0,18,46434.0
ladakh,leh ladakh,194104,2022,2,76,202368.0,30,62451.0
ladakh,leh ladakh,194101,2022,3,109,290203.0,41,98573.0
ladakh,leh ladakh,194104,2022,4,125,319324.0,36,87741.0
ladakh,leh ladakh,194104,2023,1,112,363267.0,38,100249.0
ladakh,leh ladakh,194101,2023,2,169,511134.0,64,180037.0
ladakh,leh ladakh,194101,2023,3,185,542018.0,56,155885.0
ladakh,leh ladakh,194104,2023,4,204,604548.0,64,260872.0
lakshadweep,lakshadweep,682555,2020,3,4,1199.0,3,550.0
lakshadweep,lakshadweep,682555,2021,1,4,5225.0,2,2132.0
lakshadweep,lakshadweep,682555,2021,2,5,6962.0,4,5474.0
lakshadweep,lakshadweep,682551,2021,3,19,16034.0,15,12506.0
lakshadweep,lakshadweep,682555,2021,4,11,17096.0,7,8240.0
lakshadweep,lakshadweep,682555,2022,1,27,34664.0,18,24036.0
lakshadweep,lakshadweep,682555,2022,2,18,27463.0,9,17440.0
lakshadweep,lakshadweep,682555,2022,3,38,41504.0,21,26201.0
lakshadweep,lakshadweep,682555,2022,4,15,27135.0,9,17265.0
lakshadweep,lakshadweep,682555,2023,1,26,30199.0,17,19233.0
lakshadweep,lakshadweep,682555,2023,2,15,38384.0,9,20879.0
lakshadweep,lakshadweep,682555,2023,3,12,12407.0,8,7305.0
lakshadweep,lakshadweep,682555,2023,4,53,78346.0,36,34964.0
madhya-pradesh,indore,452010,2020,2,1839,307509.0,307,49500.0
madhya-pradesh,indore,455001,2020,3,2651,650508.0,353,125258.0
madhya-pradesh,indore,452010,2020,4,1712,912031.0,196,150894.0
madhya-pradesh,indore,452010,2021,1,2373,1044072.0,292,123349.0
madhya-pradesh,indore,452010,2021,2,2409,1643068.0,318,217261.0
madhya-pradesh,indore,452010,2021,3,2349,1551659.0,262,158149.0
madhya-pradesh,indore,452010,2021,4,3226,3536081.0,385,363032.0
madhya-pradesh,indore,452010,2022,1,3338,4391052.0,387,458284.0
madhya-pradesh,indore,452010,2022,2,3158,4107710.0,412,425203.0
madhya-pradesh,indore,452010,2022,3,4843,5899749.0,575,669254.0
madhya-pradesh,indore,452010,2022,4,6547,8985121.0,760,1027736.0
madhya-pradesh,indore,452010,2023,1,6662,9887936.0,732,1016687.0
madhya-pradesh,indore,452010,2023,2,6566,10108928.0,746,989870.0
madhya-pradesh,indore,452010,2023,3,6387,9795734.0,841,1113092.0
madhya-pradesh,indore,452010,2023,4,8973,14811181.0,1090,1854529.0
maharashtra,pune,421201,2020,2,8699,1482628.0,668,104388.0
maharashtra,pune,410501,2020,3,18176,4567561.0,1067,278535.0
maharashtra,pune,421302,2020,4,8211,4862704.0,609,459248.0
maharashtra,pune,421302,2021,1,10913,6482027.0,802,538000.0
maharashtra,pune,410501,2021,2,14949,9422249.0,948,578550.0
maharashtra,pune,421301,2021,3,9943,8127896.0,1176,670772.0
maharashtra,pune,421301,2021,4,16039,18693479.0,1473,1157196.0
maharashtra,pune,421302,2022,1,17790,24312875.0,1673,1688051.0
maharashtra,pune,421302,2022,2,18712,24072589.0,1191,1281753.0
maharashtra,pune,411057,2022,3,19899,24823260.0,1327,1617600.0
maharashtra,pune,421302,2022,4,27018,38292195.0,2085,2245940.0
maharashtra,pune,411057,2023,1,24852,37388150.0,1914,2708878.0
