State,District,Pincode,Year,Quater,Trans_dist_count,Trans_dist_amount,Trans_pincode_count,Trans_pincode_amount
haryana,gurugram,122006,2018,3,2877059,5115393851.988528,517657,857203811.0603806
haryana,gurugram,122001,2018,4,4651606,7834266744.800946,694431,1148743178.0424545
haryana,gurugram,122001,2019,1,8723777,10558099866.889874,1279353,1610690538.7799742
haryana,gurugram,122001,2019,2,8386864,11575310786.46454,1302753,1838034558.5348384
haryana,gurugram,122001,2019,3,11843666,15022524504.76374,1877930,2432566276.474442
haryana,gurugram,122001,2019,4,14935865,19000424238.11497,2314018,3045015311.5663037
haryana,gurugram,122001,2020,1,16484737,21152356889.052498,2518796,3354781267.9480944
haryana,gurugram,122001,2020,2,11284856,14426170120.903454,1787578,2362256339.0022526
haryana,gurugram,122001,2020,3,18098421,23437360421.86216,2750040,3736046139.5409055
haryana,gurugram,122001,2020,4,28192581,35629614077.0103,4178803,5577129263.803511
haryana,gurugram,122001,2021,1,31719830,39350276708.73313,4506450,5997258111.473646
haryana,gurugram,122006,2021,2,32311326,39938868048.39105,4878161,7207055202.820196
haryana,gurugram,122006,2021,3,47680658,55914389975.07391,7079111,10108307756.719585
haryana,gurugram,122006,2021,4,56754843,69593103272.65858,8243097,12446013625.324087
haryana,gurugram,122006,2022,1,63282822,77508209556.89508,9497946,14052592432.141745
haryana,gurugram,122006,2022,2,79880852,92145454120.45724,11491350,16033485783.78646
haryana,gurugram,122006,2022,3,87103856,99360193857.46599,14938659,21582716225.76088
haryana,gurugram,122006,2022,4,92493335,107046551341.7809,15996511,23272769045.48967
haryana,gurugram,122001,2023,1,139674963,149429170153.0,20615058,23793998024.0
haryana,gurugram,122001,2023,2,168827725,167788722810.0,24907002,26812160057.0
haryana,gurugram,122001,2023,3,188985975,179654213171.0,28508989,29190465429.0
haryana,gurugram,122001,2023,4,200753426,196708697020.0,29905222,31256833203.0
himachal-pradesh,solan,173205,2018,1,118881,146873607.41695297,50457,58954553.080766425
himachal-pradesh,solan,173205,2018,2,166516,254576422.9168635,67411,96135650.11659741
himachal-pradesh,solan,173205,2018,3,229164,373018057.4322363,95087,136461395.92778862
himachal-pradesh,solan,173205,2018,4,347191,577618789.1056865,149125,214537044.31729394
himachal-pradesh,solan,173205,2019,1,626201,733453989.2236599,303803,286463248.34363383
himachal-pradesh,shimla,171001,2019,2,807095,1698682743.209046,601958,1240952784.1484268
himachal-pradesh,shimla,171001,2019,3,695970,1981429213.7026682,418230,1383190523.8901672
himachal-pradesh,shimla,171001,2019,4,900252,2553513821.2140336,512584,1677312305.817284
himachal-pradesh,shimla,171003,2020,1,1115491,2725598845.0394974,720359,2061228894.0105908
himachal-pradesh,shimla,171003,2020,2,1090361,2702081598.463577,638897,1987213685.729451
himachal-pradesh,shimla,171003,2020,3,1285819,3273522193.6950035,700705,2103715013.4332604
himachal-pradesh,shimla,171003,2020,4,1481567,3532549313.2620616,696682,1926017209.2458954
himachal-pradesh,shimla,171003,2021,1,1871647,3621617004.9139824,1159901,2164436964.996763
himachal-pradesh,shimla,171003,2021,2,2474329,4402623043.9412,1631599,2778990707.677697
